NodeID,X,Y,osmID
86,-7.3274407,112.7306841,7612003340
87,-7.3206169,112.7329757,6463361214
88,-7.3221367,112.73265,1722952332
89,-7.3234695,112.7323678,5603405161
90,-7.3257507,112.7318595,414289218
91,-7.3259196,112.7318233,7627979130
92,-7.3260606,112.7317724,2913698671
93,-7.3261617,112.7316986,414289210
94,-7.326312,112.7315229,6463361203
95,-7.3267111,112.7317391,3733180869
96,-7.3266286,112.731702,2913698677
97,-7.3265821,112.7316611,7627979132
98,-7.3265521,112.7316228,3733180868
99,-7.3264963,112.7315471,867732065
100,-7.326467,112.7314532,3733180867
101,-7.3264229,112.7313085,414289208
102,-7.3271341,112.731948,3826351307
103,-7.3251681,112.7323598,3043598492
104,-7.3240627,112.7326079,4643387406
105,-7.3231689,112.7327983,5603405188
106,-7.3221786,112.733042,5593927727
107,-7.3213393,112.7332449,5593927607
108,-7.3195679,112.7336004,5593927604
109,-7.3192998,112.7336561,3043598490
110,-7.3192429,112.7336686,4592143915
111,-7.3191255,112.7336941,4592143914
112,-7.3186961,112.7337734,7654786787
113,-7.3186208,112.7337873,7654786794
114,-7.317565,112.7339939,5593926588
115,-7.3175033,112.734008,5593927603
116,-7.3172143,112.7340777,3043598462
117,-7.3163301,112.7341438,3300055545
118,-7.3163592,112.7342699,3300055523
119,-7.3163673,112.7343115,3674456328
120,-7.3164544,112.7347628,5593927578
121,-7.3164753,112.7349314,3300055530
122,-7.3165126,112.7351694,3300060363
123,-7.3165531,112.7354175,3300055537
124,-7.316567,112.7355075,5593927579
125,-7.316641,112.7358051,3300055557
126,-7.3167248,112.7361222,3300055543
127,-7.3167534,112.7362624,3300055524
128,-7.3167834,112.7363824,3300055554
129,-7.3168178,112.7365537,7632374694
130,-7.3173846,112.7505686,3300055522
131,-7.3169796,112.7490941,1719471298
132,-7.3169131,112.7487186,3300055529
133,-7.3168971,112.7485456,7610952604
134,-7.3168931,112.7484034,271845234
135,-7.3169264,112.7482867,5595600469
136,-7.3169516,112.7482036,1719471269
137,-7.3174119,112.7471347,1719519739
138,-7.3176008,112.7466868,5594037310
139,-7.3178123,112.7461718,3300055517
140,-7.3178921,112.7459666,4588380375
141,-7.3180012,112.7457038,3300055532
142,-7.318057,112.7455375,5594037306
143,-7.3181062,112.7453953,3300055541
144,-7.3181355,112.7452894,5594037303
145,-7.3182233,112.7449125,1719519786
146,-7.3182619,112.7447489,5594037300
147,-7.3182978,112.7446067,3300055519
148,-7.3183111,112.7445169,6734325636
149,-7.3182991,112.7444056,271845232
150,-7.3182547,112.7440433,5594037299
151,-7.3182237,112.7438785,5594037267
152,-7.3181619,112.7435499,1719471316
153,-7.3179865,112.7425012,5594037259
154,-7.3178546,112.7417376,5594037278
155,-7.3177457,112.741159,5594037287
156,-7.3177369,112.7411128,5594037281
157,-7.3176592,112.7406456,5594037290
158,-7.3176235,112.740387,3300055539
159,-7.3175612,112.7400188,3300055556
160,-7.3174834,112.7396531,3300055546
161,-7.3173205,112.7389731,1719471303
162,-7.3173078,112.7389344,5593927580
163,-7.3171252,112.7384101,4590305864
164,-7.3171054,112.7381935,3300055547
165,-7.3170497,112.7377018,4590305770
166,-7.3168684,112.7369185,4590305827
167,-7.3168037,112.7366149,7016736255
168,-7.3167497,112.7365725,3300055538
169,-7.3167272,112.7364938,4416341013
170,-7.3166966,112.7363794,5593927740
171,-7.3166733,112.7362952,4416341011
172,-7.3166307,112.7361514,4416341012
173,-7.3165353,112.7358031,4416341010
174,-7.3164661,112.7355417,5593927745
175,-7.3164432,112.7354176,4416341009
176,-7.3164083,112.7351875,4416341008
177,-7.316379,112.7349682,4416341005
178,-7.3163464,112.7347054,7632374690
179,-7.31627,112.7342889,4416341007
180,-7.3162373,112.7341581,4484887238
181,-7.3275198,112.7354422,2306396603
182,-7.3274452,112.7351196,2306391916
183,-7.3274153,112.7349817,2306391915
184,-7.3273892,112.7348183,2306391914
185,-7.3273765,112.7346931,2306391913
186,-7.3269356,112.7350187,2306396604
187,-7.3270768,112.734815,2306396605
188,-7.3271511,112.7347131,2306396606
189,-7.3272298,112.7346142,279079277
190,-7.3273314,112.7345079,6737596579
191,-7.327366,112.7344811,1719520151
192,-7.3273555,112.7342399,271845658
193,-7.3273645,112.7339635,1719520153
194,-7.3273937,112.7335638,320088374
195,-7.3274616,112.7328182,320088377
196,-7.3274496,112.7325875,320088378
197,-7.3274084,112.7324184,320088379
198,-7.3273238,112.7321432,4643595658
199,-7.3272511,112.7319232,6737596569
200,-7.3271944,112.7318047,8229977483
201,-7.3271424,112.7316752,8229977482
202,-7.3270517,112.7317015,5009827928
203,-7.3268467,112.7317552,867732064
204,-7.3265102,112.7318454,3826351308
205,-7.3192813,112.7334073,414289251
206,-7.3192157,112.7334198,5411448246
207,-7.3190795,112.7334508,5411448245
208,-7.3189237,112.7334832,6463361215
209,-7.3181712,112.7336418,7702417941
210,-7.3163152,112.7340331,3300055521
211,-7.316222,112.7340553,414289253
212,-7.3161974,112.7339251,414289224
213,-7.3162879,112.7339076,3300055552
214,-7.3163676,112.7338916,3674456326
215,-7.3164866,112.7338651,6615354683
216,-7.3181406,112.7335082,7702417942
217,-7.3190543,112.733311,5411448247
218,-7.3191835,112.7332857,3802998997
219,-7.3192009,112.733282,414289221
220,-7.3186148,112.7292497,4540558668
221,-7.3190267,112.7289825,4540558676
222,-7.3196572,112.7286512,4540558677
223,-7.3198653,112.7285439,5593640949
224,-7.3202864,112.7283267,4540558678
225,-7.3204632,112.7282107,5593639546
226,-7.3205284,112.728185,4540558679
227,-7.3209847,112.7279498,4540558680
228,-7.3216361,112.7276008,5603340081
229,-7.3218527,112.7274848,4540558681
230,-7.32198,112.7274231,4540558682
231,-7.3293287,112.7270924,6738263563
232,-7.3294031,112.7270767,7612196613
233,-7.3361809,112.7295139,1517875731
234,-7.3363576,112.7294656,4674266002
235,-7.3365826,112.729404,867752006
236,-7.3370082,112.7293101,3733065922
237,-7.3373673,112.7292672,867752001
238,-7.3376232,112.7292609,4603097166
239,-7.3382426,112.7292457,1722953200
240,-7.3383342,112.7292461,1365167151
241,-7.3392989,112.7292366,1365167161
242,-7.3395913,112.7292243,1517895731
243,-7.3406269,112.7292404,7632262917
244,-7.3418427,112.7292538,4674266003
245,-7.3436822,112.7292525,534580448
246,-7.3440293,112.7292385,5610510370
247,-7.3440001,112.7291612,7217600876
248,-7.3439869,112.729126,6424687801
249,-7.3439742,112.7290807,7217600877
250,-7.339638,112.7290127,5608532979
251,-7.3402733,112.729006,5608532982
252,-7.3406906,112.7290016,5608532978
253,-7.3410666,112.7290009,7632262920
254,-7.3413214,112.728995,4674266004
255,-7.3416259,112.7289962,7634191025
256,-7.3418121,112.7289969,4674224724
257,-7.3424181,112.7290148,5009866789
258,-7.3431062,112.7290109,4674224723
259,-7.3436075,112.7290062,4566409418
260,-7.3438076,112.7289954,4694568261
261,-7.3439477,112.7289917,7217600881
262,-7.3439592,112.7290239,4674224722
263,-7.3439974,112.7290553,7217600879
264,-7.34402,112.7290727,6424685437
265,-7.3440772,112.7290995,7217600878
266,-7.3441663,112.729121,6424685438
267,-7.3443513,112.7291411,6424685439
268,-7.3444444,112.7291532,7607574005
269,-7.3445242,112.72918,7607574004
270,-7.3446093,112.7292182,5610510366
271,-7.3447503,112.7292517,7607574008
272,-7.3448381,112.7292538,7560733244
273,-7.3452145,112.7292256,7607574010
274,-7.3453495,112.7292109,7607574011
275,-7.3454645,112.7291907,7607574013
276,-7.3455324,112.729172,7607574006
277,-7.3455909,112.7291478,7607574007
278,-7.345638,112.7291518,876854867
279,-7.345669,112.7291686,1780837063
280,-7.3456873,112.729186,7607574012
281,-7.3456993,112.7292209,876854865
282,-7.3456965,112.7292618,1780837064
283,-7.345681,112.72929,7607574003
284,-7.3456566,112.7293074,3733065923
285,-7.3451645,112.7293557,534580441
286,-7.3440791,112.7293744,3733065924
287,-7.3433981,112.7293771,534580443
288,-7.3431754,112.7293779,5009827922
289,-7.3426293,112.7293798,702574470
290,-7.3409861,112.7293812,7632262925
291,-7.3386337,112.7293905,702574600
292,-7.3377451,112.7293986,660841718
293,-7.3374852,112.729408,7632262924
294,-7.3372671,112.7294295,271845661
295,-7.3368805,112.7294844,660841719
296,-7.3364523,112.7295783,660841720
297,-7.3342117,112.7301306,3733065913
298,-7.3339277,112.7301968,4520332227
299,-7.3337844,112.7302347,270392235
300,-7.3330671,112.7304028,3733065920
301,-7.3323283,112.7305432,3733065919
302,-7.3314145,112.7307598,1719578795
303,-7.3306264,112.7309442,7612029712
304,-7.3300012,112.7310891,4520332009
305,-7.3298117,112.7311367,4520332001
306,-7.3295077,112.7311964,3733065918
307,-7.3289024,112.7313465,1365167162
308,-7.3286568,112.731355,3733065914
309,-7.3285723,112.7313326,3679518295
310,-7.3285381,112.7312799,1365167153
311,-7.3285291,112.7312292,3679518293
312,-7.3285462,112.7311792,3679518294
313,-7.3285694,112.7311494,1365167158
314,-7.3286032,112.7311302,3733065915
315,-7.3286315,112.7311166,3733065916
316,-7.3287038,112.7310996,1365167164
317,-7.3288167,112.7311313,3733065917
318,-7.3288999,112.7311487,414289172
319,-7.3289614,112.7311544,7612029715
320,-7.3290478,112.7311511,414289169
321,-7.3297614,112.7309907,867751551
322,-7.329936,112.7309535,867751596
323,-7.3306191,112.7308081,6722346445
324,-7.3314191,112.730623,4600899717
325,-7.3317909,112.7305412,5605824187
326,-7.3320975,112.7304748,4600899727
327,-7.332589,112.7303622,4600899743
328,-7.3330622,112.7302691,867752010
329,-7.3333392,112.7302167,7632262923
330,-7.3337268,112.7301344,3733065921
331,-7.3339044,112.7300921,4520332226
332,-7.3344365,112.7299459,6722346444
333,-7.3350633,112.7297996,4518673795
334,-7.3354389,112.7296994,4674266000
