"LinkID","Node1","Node2","Capacity","Distance","MaxSpeed","Congestion","BasisFlow","EstFlow","Speed","TravelTime","Delay"
53,75,74,0.337,5.6,40,0.05489268905887764,0.010856549778443799,0.018498836212841766,39.99455309083803,0.14001906677844214,1.9066778442156096e-05
54,74,5,0.101,10.1,40,0.14409784316978486,0.008541345213466398,0.014553882160148272,39.742971362218086,0.25413298638263443,0.001632986382634427
55,5,74,0.101,10.1,40,0.117879294019632,0.006987250618005798,0.011905808695982832,39.88448315142038,0.2532313120783242,0.00073131207832422
56,74,71,0.11,9.7,40,0.14409784316978486,0.009302455182983204,0.015850762748676334,39.742971362218086,0.2440683136546093,0.001568313654609299
57,71,72,0.0852,7.8,40,0.16031723573865414,0.00801617577266394,0.013659028484933333,39.60754483834148,0.19693217622641754,0.0019321762264175313
58,55,63,0.278,6.0,40,0.2490857090290129,0.040638814264870676,0.06924582711006559,37.816430416554994,0.15866119392837683,0.008661193928376831
59,72,75,0.0888,8.6,40,0.13542987623687408,0.007057889719289957,0.012026173009834419,39.79917247893983,0.21608489484425294,0.0010848948442529482
60,72,73,0.018,4.05,40,0.13542987623687408,0.0014306533214776937,0.002437737772263733,39.79917247893984,0.10176090978130516,0.0005109097813051633
61,73,72,0.018,4.05,40,0.10490673928109845,0.0011082131887604398,0.001888321307059772,39.92746017590541,0.10143395002229591,0.00018395002229591728
62,73,41,0.0168,4.05,40,0.10490673928109846,0.001034332309509744,0.001762433219922454,39.92746017590541,0.10143395002229591,0.00018395002229591728
63,41,73,0.0168,4.05,40,0.2887430240950483,0.002846873718635055,0.004850882804796812,36.22319930666206,0.11180679999337155,0.010556799993371557
64,71,66,0.045,2.4,40,0.1603172357386541,0.004233895654576024,0.007214275608239435,39.60754483834149,0.060594515761974624,0.0005945157619746261
65,71,69,0.018,4.2,40,0.16031723573865414,0.0016935582618304097,0.0028857102432957743,39.60754483834149,0.1060404025834556,0.0010404025834555852
66,66,64,0.0732,3.0,40,0.08338462925522351,0.003582156073315595,0.0061037548614823614,39.97101452384704,0.07505438717874362,5.438717874362009e-05
67,64,63,0.0516,5.4,40,0.1682972643622858,0.005096525236858159,0.008684138841093947,39.52437519181108,0.13662455064232887,0.0016245506423288592
68,63,62,0.018,3.0,40,0.3059105282338198,0.0032315758195572263,0.005506389508208756,35.355623155968374,0.0848521319159261,0.009852131915926099
69,62,61,0.12,3.5,40,0.06486292194612682,0.004567990328351132,0.007783550633535218,39.98938250677238,0.08752323193305772,2.323193305772686e-05
70,61,62,0.12,3.5,40,0.05140780368411641,0.003620409672969411,0.006168936442093969,39.99580992348456,0.0875091667526124,9.166752612407847e-06
71,62,65,0.06,6.5,40,0.06486292194612682,0.002283995164175566,0.003891775316767609,39.98938250677237,0.16254314501853578,4.3145018535778457e-05
72,65,14,0.101,10.1,40,0.05375799957524504,0.003186485114954364,0.005429557957099749,39.99498963637503,0.25253163188256345,3.163188256344318e-05
73,14,65,0.101,10.1,40,0.0727093722223629,0.00430982056874983,0.007343646594458654,39.98323780846786,0.2526058556933818,0.00010585569338178447
74,65,66,0.06,3.0,40,0.05375799957524503,0.0018929614544283347,0.003225479974514702,39.99498963637504,0.07500939560868221,9.39560868221112e-06
75,66,69,0.052,2.5,40,0.08338462925522354,0.002544701035688674,0.004336000721271624,39.97101452384704,0.06254532264895302,4.532264895301674e-05
76,69,21,0.101,10.1,40,0.0787413859167852,0.004667365901581162,0.007952879977595306,39.97694776120877,0.25264560116819207,0.0001456011681920666
77,21,69,0.101,10.1,40,0.08520106539313266,0.0050502609620632095,0.008605307604706399,39.96840719390259,0.25269958722650354,0.00019958722650353922
78,69,68,0.1,5.2,40,0.07874138591678521,0.00462115435800115,0.007874138591678521,39.97694776120878,0.13007496297768303,7.496297768302962e-05
79,63,55,0.278,6.0,40,0.3059105282338198,0.04990989321316162,0.08504312684900192,35.355623155968374,0.1697042638318522,0.019704263831852198
80,72,68,0.008,5.2,40,0.13542987623687408,0.0006358459206567528,0.0010834390098949927,39.79917247893984,0.13065598292908318,0.0006559829290831709
81,68,61,0.1254,4.2,40,0.04306527693064172,0.0031693645910754733,0.005400385727102473,39.997936341545476,0.10500541738293384,5.417382933831094e-06
84,68,67,0.0826,6.0,40,0.04306527693064172,0.002087635687582409,0.0035571918744710064,39.997936341545476,0.1500077391184769,7.739118476901563e-06
85,67,35,0.021,5.4,40,0.16939008926051946,0.0020876356875823517,0.003557191874470909,39.51205278909659,0.13666715897611217,0.0016671589761121652
86,70,71,0.044,4.5,40,0.17973299063164166,0.004641174506087184,0.007908251587792233,39.383522795258905,0.11426098227408246,0.0017609822740824593
88,60,77,0.15,4.5,40,0.13685201329228927,0.012047304037077208,0.02052780199384339,39.79064803824354,0.11309190027955728,0.0005919002795572725
89,77,70,0.094,4.5,40,0.08413033604034137,0.004641174506087099,0.007908251587792089,39.969964455079065,0.11258453844904973,8.453844904972307e-05
90,60,7,0.101,10.1,40,0.13685201329228927,0.00811185138496532,0.013822053342521217,39.79064803824354,0.25382848729411744,0.001328487294117442
91,7,60,0.101,10.1,40,0.11425637908088507,0.006772503703755311,0.011539894287169393,39.898008423850605,0.25314546763096896,0.0006454676309689544
92,51,60,0.168,4.8,40,0.1357735776737821,0.013386651718287318,0.02280996104919539,39.797136398969464,0.12061169305951104,0.0006116930595110454
94,51,49,0.0992,4.8,40,0.13577357767378206,0.007904499109845843,0.01346873890523918,39.797136398969464,0.12061169305951104,0.0006116930595110454
96,49,48,0.1338,2.4,40,0.12801559925790676,0.010052322836271317,0.017128487180707926,39.83950674469336,0.06024170970238433,0.00024170970238433093
97,48,49,0.1338,2.4,40,0.11805401408907609,0.009270097305487704,0.01579562708511838,39.88379874738742,0.06017480970659074,0.00017480970659074224
98,48,6,0.101,10.1,40,0.11805401408907609,0.006997607084112543,0.011923455422996686,39.88379874738742,0.253235657515236,0.0007356575152360212
99,6,48,0.101,10.1,40,0.1048573794792781,0.0062153815533289,0.010590595327407089,39.92759635585237,0.2529578768024085,0.0004578768024084967
100,49,50,0.0948,5.4,40,0.12801559925790676,0.007122273579062187,0.01213587880964956,39.83950674469335,0.13554384683036477,0.0005438468303647637
101,50,9,0.101,10.1,40,0.07247443980503661,0.004295895038470701,0.0073199184203086975,39.98345331389088,0.25260449418187453,0.00010449418187452597
102,9,50,0.101,10.1,40,0.08206759233725781,0.004864525530507947,0.00828882682606304,39.97280164628718,0.2526718064291129,0.00017180642911290844
103,50,52,0.0992,4.8,40,0.07247443980503661,0.004219334532834589,0.007189464428659631,39.98345331389088,0.1200496606012869,4.9660601286902195e-05
104,52,50,0.0992,4.8,40,0.038268670838011144,0.0022279347702012756,0.0037962521471307056,39.99871320076946,0.12000386052188454,3.860521884543888e-06
105,52,10,0.101,10.1,40,0.03826867083801115,0.002268361005950896,0.0038651357546391264,39.99871320076946,0.25250812318146537,8.123181465369278e-06
106,10,52,0.101,10.1,40,0.06496470785374615,0.0038507585142481078,0.006561435493228362,39.98931572172339,0.25256746252633117,6.746252633116345e-05
107,52,51,0.948,5.4,40,0.038268670838011144,0.021291150828133158,0.036278699954434564,39.99871320076946,0.13500434308712012,4.34308712010667e-06
108,55,52,0.1212,5.4,40,0.24908570902901286,0.01771735355720261,0.03018918793431636,37.816430416554994,0.14279507453553916,0.007795074535539154
109,55,54,0.019,2.7,40,0.24908570902901286,0.002777472917383247,0.004732628471551244,37.816430416554994,0.07139753726776958,0.003897537267769577
110,53,54,0.0516,5.4,40,0.18820881654796287,0.005699504308466066,0.009711574933874884,39.261053388037574,0.13754088426077032,0.0025408842607703153
111,54,11,0.101,10.1,40,0.10118340064368626,0.005997607845884962,0.010219523465012313,39.93720775044347,0.2528969992872836,0.0003969992872835948
112,11,54,0.101,10.1,40,0.09642207275658328,0.005715381934215115,0.009738629348414912,39.948204220540724,0.2528273847865918,0.00032738478659177783
113,50,53,0.134,5.4,40,0.0724744398050366,0.005699504308466078,0.009711574933874905,39.98345331389088,0.13505586817644777,5.5868176447759765e-05
114,54,56,0.118,6.3,40,0.10118340064368626,0.00700710619618243,0.011939641275954978,39.93720775044348,0.15774763321880064,0.0002476332188006414
115,57,55,0.1398,5.4,40,0.12232366705334337,0.010036102408297802,0.017100848654057404,39.86611339634619,0.1354533848412452,0.00045338484124518574
116,56,32,0.048,6.3,40,0.2487425265823989,0.0070071061961825285,0.011939641275955147,37.82778723256247,0.16654423800335083,0.00904423800335083
117,33,57,0.1068,11.4,40,0.10573255195100226,0.006627158962151616,0.011292236548367042,39.92515329103513,0.28553428253360713,0.0005342825336071
118,57,12,0.101,10.1,40,0.12232366705334335,0.007250689150486967,0.01235469037238768,39.86611339634619,0.25334799757344006,0.0008479975734400624
119,12,57,0.101,10.1,40,0.10699220596141186,0.006341922586516119,0.010806212802102599,39.92152939565727,0.25299631935190076,0.0004963193519007536
120,59,57,0.117,5.5,40,0.06288110834167002,0.004317710010117003,0.007357089675975393,39.990621569479835,0.137532245915315,3.224591531497678e-05
121,59,13,0.101,10.1,40,0.06288110834167002,0.003727253940357413,0.006350991942508672,39.99062156947983,0.2525592152263057,5.9215226305697755e-05
122,13,59,0.101,10.1,40,0.07727092660557476,0.004580204981451317,0.007804363587163051,39.97862118881969,0.25263502591291315,0.0001350259129131448
123,61,59,0.176,12.0,40,0.05140780368411641,0.005309934187021802,0.009047773448404487,39.99580992348456,0.3000314288660997,3.142886609969198e-05
124,73,19,0.101,10.1,40,0.10490673928109846,0.00621830733693358,0.010595580667390945,39.92746017590541,0.252958739561775,0.0004587395617750012
125,19,73,0.101,10.1,40,0.09828374207528862,0.005825731679739379,0.00992665794960415,39.94409243835857,0.2528534104407616,0.00035341044076159234
126,65,64,0.048,2.5,40,0.05375799957524504,0.001514369163542668,0.002580383979611762,39.99498963637504,0.06250782967390184,7.829673901837975e-06
127,61,20,0.101,10.1,40,0.05140780368411641,0.0030471781414159213,0.005192188172095758,39.99580992348454,0.2525264526289673,2.6452628967277292e-05
128,20,61,0.101,10.1,40,0.07153427427679818,0.004240167081980584,0.007224961701956616,39.98429501939411,0.25259917662925063,9.91766292506302e-05
129,54,55,0.02,2.7,40,0.10118340064368626,0.001187645117997022,0.0020236680128737253,39.93720775044348,0.06760612852234314,0.00010612852234313797
136,77,63,0.15,7.0,40,0.08413033604034137,0.007406129530990051,0.012619550406051205,39.96996445507907,0.17513150425407734,0.000131504254077347
137,59,34,0.05,6.0,40,0.06288110834167002,0.0018451752179987195,0.003144055417083501,39.990621569479835,0.1500351773621618,3.51773621617979e-05
138,3,78,0.101,10.1,100,0.08439362191612043,0.005002400055016898,0.008523755813528164,99.92396747176613,0.10107685128549154,7.685128549154985e-05
139,4,78,0.101,10.1,100,0.2126485823613468,0.012604664380454489,0.02147750681849603,97.02408327434335,0.10409786579937522,0.003097865799375224
140,5,78,0.101,10.1,100,0.117879294019632,0.006987250618005798,0.011905808695982832,99.71120787855097,0.10129252483132968,0.000292524831329688
141,6,78,0.101,10.1,100,0.1048573794792781,0.0062153815533289,0.010590595327407089,99.81899088963095,0.10118315072096339,0.00018315072096339313
