LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
17403,13709,13708,1000.0,0.025,25.0,2,2.0,tertiary,Jalan Pakal Madya
17404,13709,13710,1000.0,0.021,25.0,2,2.0,tertiary,Jalan Pakal Madya
17405,13710,13709,1000.0,0.021,25.0,2,2.0,tertiary,Jalan Pakal Madya
17406,13710,13711,1000.0,0.028,25.0,2,2.0,tertiary,Jalan Pakal Madya
17407,13711,13710,1000.0,0.028,25.0,2,2.0,tertiary,Jalan Pakal Madya
17408,13711,13712,1000.0,0.065,25.0,2,2.0,tertiary,Jalan Pakal Madya
17409,13712,13711,1000.0,0.065,25.0,2,2.0,tertiary,Jalan Pakal Madya
17410,13712,13713,1000.0,0.001,25.0,2,2.0,tertiary,Jalan Pakal Madya
17411,13713,13712,1000.0,0.001,25.0,2,2.0,tertiary,Jalan Pakal Madya
17412,13713,13714,1000.0,0.011,25.0,2,2.0,tertiary,Jalan Pakal Madya
17413,13714,13713,1000.0,0.011,25.0,2,2.0,tertiary,Jalan Pakal Madya
17414,13714,13715,1000.0,0.044,25.0,2,2.0,tertiary,Jalan Pakal Madya
17415,13715,13714,1000.0,0.044,25.0,2,2.0,tertiary,Jalan Pakal Madya
17416,13715,13716,1000.0,0.048,25.0,2,2.0,tertiary,Jalan Pakal Madya
17417,13716,13715,1000.0,0.048,25.0,2,2.0,tertiary,Jalan Pakal Madya
17418,13716,13717,1000.0,0.069,25.0,2,2.0,tertiary,Jalan Pakal Madya
17419,13717,13716,1000.0,0.069,25.0,2,2.0,tertiary,Jalan Pakal Madya
17420,13717,13718,1000.0,0.062,25.0,2,2.0,tertiary,Jalan Pakal Madya
17421,13718,13717,1000.0,0.062,25.0,2,2.0,tertiary,Jalan Pakal Madya
17422,13718,13719,1000.0,0.022,25.0,2,2.0,tertiary,Jalan Pakal Madya
17423,13719,13718,1000.0,0.022,25.0,2,2.0,tertiary,Jalan Pakal Madya
17424,13719,13720,1000.0,0.034,25.0,2,2.0,tertiary,Jalan Pakal Madya
17425,13720,13719,1000.0,0.034,25.0,2,2.0,tertiary,Jalan Pakal Madya
17426,13720,13721,1000.0,0.029,25.0,2,2.0,tertiary,Jalan Pakal Madya
17427,13721,13720,1000.0,0.029,25.0,2,2.0,tertiary,Jalan Pakal Madya
17428,13721,13722,1000.0,0.015,25.0,2,2.0,tertiary,Jalan Pakal Madya
17429,13722,13721,1000.0,0.015,25.0,2,2.0,tertiary,Jalan Pakal Madya
17430,13722,13723,1000.0,0.038,25.0,2,2.0,tertiary,Jalan Pakal Madya
17431,13723,13722,1000.0,0.038,25.0,2,2.0,tertiary,Jalan Pakal Madya
17432,13723,13724,1000.0,0.035,25.0,2,2.0,tertiary,Jalan Pakal Madya
17433,13724,13723,1000.0,0.035,25.0,2,2.0,tertiary,Jalan Pakal Madya
17434,13724,13725,1000.0,0.046,25.0,2,2.0,tertiary,Jalan Pakal Madya
17435,13725,13724,1000.0,0.046,25.0,2,2.0,tertiary,Jalan Pakal Madya
17436,20648,20647,1500.0,0.013,35.0,1,3.0,secondary,Jalan Semolowaru
17437,20647,20648,1500.0,0.013,35.0,1,3.0,secondary,Jalan Semolowaru
17438,20647,20646,1500.0,0.043,35.0,1,3.0,secondary,Jalan Semolowaru
17439,20646,20647,1500.0,0.043,35.0,1,3.0,secondary,Jalan Semolowaru
17440,20646,20645,1500.0,0.114,35.0,1,3.0,secondary,Jalan Semolowaru
17441,20645,20646,1500.0,0.114,35.0,1,3.0,secondary,Jalan Semolowaru
