osmid,y,x,street_count,highway,geometry
4650937293,-7.3373012,112.7310381,2,,POINT (112.7310381 -7.3373012)
4651281429,-7.3352068,112.7318587,2,,POINT (112.7318587 -7.3352068)
4654980171,-7.3355758,112.7303669,3,,POINT (112.7303669 -7.3355758)
4845521913,-7.3400014,112.7384265,2,,POINT (112.7384265 -7.3400014)
4845521914,-7.3400812,112.7386904,2,,POINT (112.7386904 -7.3400812)
5340226229,-7.3312507,112.7372219,2,,POINT (112.7372219 -7.3312507)
5340226230,-7.3313272,112.736658,2,,POINT (112.736658 -7.3313272)
5340226231,-7.3291937,112.7377067,2,,POINT (112.7377067 -7.3291937)
5377574873,-7.3410646,112.737291,2,,POINT (112.737291 -7.3410646)
5377574874,-7.3410779,112.7370529,2,,POINT (112.7370529 -7.3410779)
5377574875,-7.3410925,112.7369967,2,,POINT (112.7369967 -7.3410925)
5377574876,-7.3411085,112.7369665,2,,POINT (112.7369665 -7.3411085)
5406390550,-7.3376156,112.7395669,2,,POINT (112.7395669 -7.3376156)
5406390551,-7.3376036,112.7395454,2,,POINT (112.7395454 -7.3376036)
5406390552,-7.3375777,112.73953,2,,POINT (112.73953 -7.3375777)
5605824197,-7.333024,112.7309113,2,,POINT (112.7309113 -7.333024)
5605824198,-7.3325172,112.7309838,2,,POINT (112.7309838 -7.3325172)
5605824199,-7.332468,112.7310133,3,,POINT (112.7310133 -7.332468)
5605824200,-7.3324161,112.7312426,3,,POINT (112.7312426 -7.3324161)
5605824201,-7.3322883,112.7314733,2,,POINT (112.7314733 -7.3322883)
5605824202,-7.3321666,112.7316939,3,,POINT (112.7316939 -7.3321666)
5605824203,-7.3329202,112.7315846,2,,POINT (112.7315846 -7.3329202)
5605885542,-7.332347,112.7373822,2,,POINT (112.7373822 -7.332347)
5605885543,-7.332337,112.7374365,1,,POINT (112.7374365 -7.332337)
5605885549,-7.3315197,112.7347987,2,,POINT (112.7347987 -7.3315197)
5605885557,-7.3326764,112.7367744,3,,POINT (112.7367744 -7.3326764)
5605885558,-7.3316951,112.7355811,1,,POINT (112.7355811 -7.3316951)
5605885560,-7.3322126,112.7353746,3,,POINT (112.7353746 -7.3322126)
5605885561,-7.3322605,112.7365601,1,,POINT (112.7365601 -7.3322605)
5605885562,-7.3324414,112.7358077,2,,POINT (112.7358077 -7.3324414)
5605885563,-7.3323895,112.7358225,2,,POINT (112.7358225 -7.3323895)
5605885564,-7.332319,112.7361926,3,,POINT (112.7361926 -7.332319)
5605885565,-7.332063,112.7361555,3,,POINT (112.7361555 -7.332063)
5605885566,-7.3327024,112.7369336,2,,POINT (112.7369336 -7.3327024)
5605885567,-7.3327756,112.7369441,1,,POINT (112.7369441 -7.3327756)
5605885568,-7.3324739,112.7367425,3,,POINT (112.7367425 -7.3324739)
5605885571,-7.3317284,112.7383975,2,,POINT (112.7383975 -7.3317284)
5605885572,-7.331739,112.7385155,2,,POINT (112.7385155 -7.331739)
5605885573,-7.3317124,112.7386643,2,,POINT (112.7386643 -7.3317124)
5605885574,-7.3316965,112.7387072,1,,POINT (112.7387072 -7.3316965)
5605885575,-7.3305314,112.7386193,3,,POINT (112.7386193 -7.3305314)
5605885576,-7.3305861,112.7385957,2,,POINT (112.7385957 -7.3305861)
5608342964,-7.3349474,112.7340196,1,,POINT (112.7340196 -7.3349474)
5608342966,-7.3347359,112.7340763,1,,POINT (112.7340763 -7.3347359)
5608342967,-7.3342212,112.7342474,3,,POINT (112.7342474 -7.3342212)
5608342968,-7.3353484,112.7344283,2,,POINT (112.7344283 -7.3353484)
5608342969,-7.3355072,112.7347461,2,,POINT (112.7347461 -7.3355072)
5608342970,-7.3352445,112.7342876,2,,POINT (112.7342876 -7.3352445)
5608342972,-7.3349013,112.733334,3,,POINT (112.733334 -7.3349013)
5608388575,-7.336253,112.7380995,3,,POINT (112.7380995 -7.336253)
5608388580,-7.3359878,112.7390726,2,,POINT (112.7390726 -7.3359878)
5608388581,-7.3331131,112.736599,1,,POINT (112.736599 -7.3331131)
5608388582,-7.3331463,112.7363375,2,,POINT (112.7363375 -7.3331463)
5608388583,-7.3334723,112.7363563,3,,POINT (112.7363563 -7.3334723)
5608388586,-7.3352518,112.7384668,3,,POINT (112.7384668 -7.3352518)
5608388587,-7.33356,112.7381923,2,,POINT (112.7381923 -7.33356)
5608388588,-7.3353779,112.7376541,2,,POINT (112.7376541 -7.3353779)
5608388589,-7.33529,112.7382192,2,,POINT (112.7382192 -7.33529)
5608388590,-7.3352579,112.7384286,3,,POINT (112.7384286 -7.3352579)
5608388591,-7.3338777,112.7356585,2,,POINT (112.7356585 -7.3338777)
5608388592,-7.3338261,112.7363113,2,,POINT (112.7363113 -7.3338261)
5608388593,-7.3335002,112.7362383,3,,POINT (112.7362383 -7.3335002)
5608388594,-7.333375,112.7368811,3,,POINT (112.7368811 -7.333375)
5608388595,-7.332902,112.7368059,2,,POINT (112.7368059 -7.332902)
5608388598,-7.3370801,112.7388151,3,,POINT (112.7388151 -7.3370801)
5608388601,-7.3362655,112.7383754,3,,POINT (112.7383754 -7.3362655)
5608388602,-7.3349879,112.7387937,3,,POINT (112.7387937 -7.3349879)
