u,v,key,osmid,name,highway,oneway,reversed,length,travel_time,regulated_max_speed,computed_max_speed,capacity,lanes,width,access,bridge,service,geometry
7625813782,5608388608,0,587072771,,service,False,False,2.175,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7386757 -7.3349826, 112.7386596 -7.3349939)"
7625813782,7625813781,0,587072771,,service,False,True,2.508,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7386757 -7.3349826, 112.7386978 -7.3349773)"
7625813783,7625813784,0,587121091,,service,False,False,1.872,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363475 -7.3400793, 112.7363643 -7.3400769)"
7625813783,9712956491,0,587121091,,service,False,True,49.391,5.9,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363475 -7.3400793, 112.7359056 -7.3400071)"
7625813784,9190085201,0,587121091,,service,False,False,1.809,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363643 -7.3400769, 112.736377 -7.3400666)"
7625813784,7625813783,0,587121091,,service,False,True,1.872,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363643 -7.3400769, 112.7363475 -7.3400793)"
7625829585,4636658203,0,469305769,Jalan Siwalankerto II A,living_street,False,False,31.881,5.7,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313921 -7.3395661, 112.7314725 -7.3392907)"
7625829585,7625829586,0,469305769,Jalan Siwalankerto II A,living_street,False,True,1.676,0.3,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313921 -7.3395661, 112.7313892 -7.3395809)"
7625829586,7625829585,0,469305769,Jalan Siwalankerto II A,living_street,False,False,1.676,0.3,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313892 -7.3395809, 112.7313921 -7.3395661)"
7625829586,7625829587,0,469305769,Jalan Siwalankerto II A,living_street,False,True,1.147,0.2,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313892 -7.3395809, 112.7313913 -7.339591)"
7625829587,7625829586,0,469305769,Jalan Siwalankerto II A,living_street,False,False,1.147,0.2,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313913 -7.339591, 112.7313892 -7.3395809)"
7625829587,4636658204,0,469305769,Jalan Siwalankerto II A,living_street,False,True,1.466,0.3,20,20.0,1500.0,1,3,,,,"LINESTRING (112.7313913 -7.339591, 112.7314025 -7.3395981)"
7625829588,414555413,0,816444051,,service,False,False,42.623,5.1,30,25.0,2000.0,2,4,permissive,,,"LINESTRING (112.7393083 -7.3399934, 112.7396945 -7.340008)"
7625829588,414555414,0,816444051,,service,False,True,33.806,4.1,30,25.0,2000.0,2,4,permissive,,,"LINESTRING (112.7393083 -7.3399934, 112.7390021 -7.3399791)"
7628878470,5605885565,0,159869537,Jalan Jemur Andayani I,residential,False,False,88.25,10.6,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7369425 -7.3319195, 112.7361555 -7.332063)"
7628878470,4617662003,0,159869537,Jalan Jemur Andayani I,residential,False,True,100.798,12.1,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7369425 -7.3319195, 112.7378391 -7.3317436)"
7628878470,7863420975,0,842923302,,residential,False,True,7.041,0.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7369425 -7.3319195, 112.7369336 -7.3318568)"
7863420975,6709065840,0,816817010,,residential,False,True,5.773,0.7,30,25.0,2000.0,2,4,permissive,,,"LINESTRING (112.7369336 -7.3318568, 112.7369323 -7.3318049)"
7863420975,7628878470,0,842923302,,residential,False,False,7.041,0.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7369336 -7.3318568, 112.7369425 -7.3319195)"
7863654130,4545966480,0,842950608,Jalan Kertomenanggal IX,residential,False,False,2.266,0.3,30,40.0,3500.0,1,7,,,,"LINESTRING (112.7333473 -7.3398282, 112.7333595 -7.3398118)"
7863654130,6722826115,0,842950608,Jalan Kertomenanggal IX,residential,False,True,2.63,0.3,30,40.0,3500.0,1,7,,,,"LINESTRING (112.7333473 -7.3398282, 112.7333331 -7.3398472)"
7904121937,9189322750,0,159882724,,residential,False,False,2.986,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7370727 -7.3355805, 112.7370974 -7.3355915)"
7904121937,1719641759,0,159882724,,residential,False,True,3.182,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7370727 -7.3355805, 112.737045 -7.3355725)"
8595351154,6722638268,0,926223955,,service,False,True,4.789,0.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7390344 -7.3407164, 112.7389914 -7.3407104)"
8597162661,6722842341,0,159882725,Jalan Siwalankerto I,residential,False,False,78.383,9.4,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7312971 -7.3359862, 112.7311546 -7.3366768)"
8597162661,1719641779,0,926433529,Jalan Siwalankerto I,residential,False,True,7.922,1.0,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7312971 -7.3359862, 112.7313129 -7.3359167)"
8604948559,1719642465,0,159882788,,residential,False,False,17.794,2.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.737163 -7.3445451, 112.7371794 -7.3443859)"
8605089082,1719642122,0,927492024,Jalan Siwalankerto Selatan II,living_street,True,False,3.496,0.6,20,20.0,1500.0,1,4,,,,"LINESTRING (112.7383315 -7.3405241, 112.7383631 -7.3405266)"
9169552827,1719578747,0,159869870,Jalan Jemur Andayani XVII,residential,False,False,68.41,8.2,30,25.0,2000.0,1,4,permissive,,,"LINESTRING (112.7385815 -7.3306185, 112.738333 -7.3311822)"
9169552827,5605885576,0,159869870,Jalan Jemur Andayani XVII,residential,False,True,3.928,0.5,30,25.0,2000.0,1,4,permissive,,,"LINESTRING (112.7385815 -7.3306185, 112.7385957 -7.3305861)"
9182042006,5608527907,0,1120166457,,service,False,True,9.982,1.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7300008 -7.3387661, 112.7299112 -7.3387534)"
9186637034,9186637035,0,159882758,Jalan Siwalankerto Utara,residential,False,False,6.614,0.8,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7317074 -7.3348676, 112.7316483 -7.3348575)"
9186637034,1719641702,0,159882758,Jalan Siwalankerto Utara,residential,False,True,7.552,0.9,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7317074 -7.3348676, 112.7317734 -7.3348857)"
9186637035,4636658083,0,159882758,Jalan Siwalankerto Utara,residential,False,False,9.031,1.1,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7316483 -7.3348575, 112.7315676 -7.3348437)"
9186637035,9186637034,0,159882758,Jalan Siwalankerto Utara,residential,False,True,6.614,0.8,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7316483 -7.3348575, 112.7317074 -7.3348676)"
9186637036,9186637037,0,159882714,Jalan Siwalankerto Utara I,residential,False,False,6.475,0.8,30,25.0,2000.0,1,4,,,,"LINESTRING (112.731944 -7.3349979, 112.7319186 -7.3350504)"
9186637036,1719641707,0,159882714,Jalan Siwalankerto Utara I,residential,False,True,6.111,0.7,30,25.0,2000.0,1,4,,,,"LINESTRING (112.731944 -7.3349979, 112.731967 -7.3349479)"
9186637037,9186637038,0,159882714,Jalan Siwalankerto Utara I,residential,False,False,9.706,1.2,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7319186 -7.3350504, 112.7318863 -7.3351316)"
9186637037,9186637036,0,159882714,Jalan Siwalankerto Utara I,residential,False,True,6.475,0.8,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7319186 -7.3350504, 112.731944 -7.3349979)"
9186637038,4651281429,0,159882714,Jalan Siwalankerto Utara I,residential,False,False,8.899,1.1,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7318863 -7.3351316, 112.7318587 -7.3352068)"
